238,243
246,233
250,218
257,201
269,187
281,174
286,167
288,167
292,167
292,164
306,146
309,146
313,139
320,137
325,136
329,131
327,129
327,126
319,126
318,129
306,135
304,132
307,126
300,124
300,91
297,91
296,95
293,99
290,99
289,104
286,107
283,109
280,112
277,111
275,112
269,117
267,115
262,114
260,116
257,117
255,123
253,127
251,133
256,136
260,139
260,142
265,151
268,153
266,159
267,162
268,164
244,166
237,168
232,171
223,177
220,177
217,179
220,183
223,186
225,192
224,196
223,199
223,203
226,203
227,208
225,210
226,215
226,219
229,221
236,222
234,227
234,230
237,229
239,232
240,236
