218,177
218,172
220,171
223,169
223,166
222,164
220,163
218,163
216,163
212,161
210,158
212,158
212,155
210,151
206,150
205,148
210,147
212,149
213,147
215,144
217,142
221,141
223,139
225,138
225,136
228,135
232,134
232,131
235,130
237,130
239,131
242,132
245,129
248,129
251,126
253,125
254,123
255,119
256,117
257,115
258,113
256,111
255,108
253,107
252,105
251,103
252,101
255,101
255,98
254,96
254,94
252,91
249,91
246,93
242,97
238,98
239,100
237,103
232,104
230,103
228,105
226,106
224,106
224,111
222,113
220,117
218,118
216,117
214,118
213,120
212,122
210,123
208,123
207,126
206,131
204,131
202,132
201,136
197,136
191,136
189,137
187,138
186,136
180,137
179,135
180,133
177,131
176,133
167,132
167,137
165,140
164,146
167,145
168,148
166,149
164,150
166,152
169,156
172,158
174,160
179,159
180,161
183,159
191,159
194,163
197,163
200,163
202,163
204,164
207,164
210,165
211,167
211,170
210,173
213,173
214,180
216,180
