86,265
80,265
79,261
75,255
76,253
76,251
70,250
72,247
74,246
72,243
60,244
60,241
55,240
58,239
54,235
61,235
65,236
68,232
71,233
75,232
77,228
78,220
80,217
78,215
70,210
68,210
65,207
68,204
66,202
66,199
63,199
60,195
63,192
61,187
62,185
62,183
65,180
66,175
71,167
75,164
77,160
78,158
83,158
87,156
91,155
94,155
99,154
103,151
106,150
109,146
112,145
115,148
114,152
115,154
113,156
109,158
106,159
106,161
109,163
114,164
116,166
115,169
115,172
113,173
111,174
111,178
111,181
111,183
110,187
108,187
106,190
112,186
113,181
117,180
120,179
121,181
125,181
128,180
135,176
136,178
136,180
139,182
139,185
140,187
141,190
144,194
147,193
149,196
147,197
148,199
149,203
148,206
141,212
136,211
136,215
132,215
131,217
130,221
129,224
124,224
120,224
118,229
107,229
104,234
101,234
99,238
99,241
95,244
99,247
101,250
104,252
109,250
109,253
105,257
99,257
92,258
87,261
